value,time(s),ratio 
1000,0.002102196,1
2000,0.006602836,3.140923111
4000,0.017708644,2.681975442
8000,0.065746105,3.71265609
16000,0.241560775,3.674145792
32000,1.003452341,4.154036768
64000,3.874352511,3.861022943
128000,15.76463711,4.068973349
256000,63.0924397,4.002149828
