value,time(s),ratio 
1000,0.003943133,1
2000,0.004885063,1.238878577
4000,0.010957917,2.24314753
8000,0.04401455,4.016689486
16000,0.132102434,3.001335558
32000,0.481876376,3.647747898
64000,2.303480847,4.780231947
128000,7.960661972,3.455927138
256000,31.51527171,3.95887576
