value,time(s),ratio 
30,7.93E-05,
31,5.13E-06,0.064707292
32,5.60E-06,1.090802806
33,4.20E-06,0.750089318
34,3.73E-06,0.888783044
35,3.73E-06,1
36,4.20E-06,1.124866024
37,4.20E-06,1.000238209
38,4.20E-06,1
39,1.49E-05,3.555370326
40,4.20E-06,0.281264653
41,4.67E-06,1.110978804
42,4.67E-06,1
43,1.49E-05,3.200214362
44,4.67E-06,0.312479068
