value,time(s),ratio 
1000,0.00282812,
2000,0.00520697,1.841141819
4000,0.020543296,3.945345566
8000,0.084385014,4.107666754
16000,0.363461542,4.307181154
32000,1.572214812,4.32567034
64000,6.822725082,4.339562908
