value,time(s),ratio 
30,0.008106937,
31,0.006765656,0.834551446
32,0.010428403,1.541373519
33,0.016858155,1.61656152
34,0.027678445,1.641843072
35,0.042646676,1.540790171
36,0.068465057,1.605401954
37,0.110656864,1.616253149
38,0.182397912,1.648319909
39,0.296634481,1.626304149
40,0.49313334,1.662427572
41,0.766917055,1.55519206
42,1.241623291,1.618979892
43,2.015594785,1.623354523
44,3.251107899,1.612976935
