value,time(s),ratio 
1000,0.001679517,
2000,7.89E-04,0.470000006
4000,7.43E-04,0.940898663
8000,0.001512033,2.035804879
16000,0.003722463,2.461892697
32000,0.007485516,2.010904071
64000,0.014777886,1.97419737
128000,0.031217094,2.112419462
256000,0.071048713,2.275955379
