value,time(s),ratio 
1000,4.78E-04,
2000,1.29E-04,0.26926825
4000,3.46E-04,2.684785226
8000,2.47E-05,0.071524236
16000,4.01E-05,1.622623959
32000,6.95E-05,1.732583934
64000,1.80E-04,2.583905169
128000,2.48E-04,1.379222225
256000,6.99E-04,2.822975913
512000,0.001012843,1.448298593
1024000,0.00202755,2.001840364
2048000,0.004113418,2.028762793
4096000,0.007821419,1.901440359
8192000,0.015941885,2.038234366
